ZINC ID,compound_ID,DOCK score,Global rank,Tc to knowns,Ki (uM),SMILES,Picking method
ZINCpw000006KgXH,Z6615022388,-93.37,125,0.295775,95.97,CC1CSC=2C=CC(Br)=CC2C1NS(=O)(=O)C=3C=NN(C)C3C(=O)O,auto
ZINCrp00000ciSUl,Z6615022390,-93.17,136,0.391304,NH,CCC(CC1=CN(C)C=2C=CC=CC12)NS(=O)(=O)C=3C=NN(C)C3C(=O)O,auto/manual
ZINCoA000007zBqb,Z6615022393,-92.88,151,0.474576,63.82,CC(=O)NC=1C(F)=CC=C(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C1F,auto/manual
ZINCnw00000an5Mi,Z6615022396,-92.83,159,0.467742,106.79,CCOC(=O)C(CC(C)CC)NS(=O)(=O)C=1C=CC=C(Cl)C1O,auto
ZINCp400000mlgLp,Z6615022403,-92.76,168,0.19403,NH,CC(C)C#CC(=O)NCCN(C)C(=O)CN1C=C(C#N)C(=O)NC1=O,auto
ZINCrx000008eWH9,Z6615022408,-92.57,182,0.323529,267.47,CC(C)CC=1C=CC(=CC1)C(NS(=O)(=O)C=2C=NN(C)C2C(=O)O)C3CC3,auto
ZINCsv0000066w78,Z6615022411,-92.5,189,0.338028,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(CC=2C=CC=CC2)C=3C=CC=CC3F,auto
ZINCrq000008Fflb,Z6615022418,-92.49,192,0.342857,NH,CC=1SC(CCNS(=O)(=O)C=2C=NN(C)C2C(=O)O)=NC1C=3C=CC=CC3,auto/manual
ZINCnr000007QsGS,Z6615022419,-92.43,197,0.491228,NH,CC(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C2=NN=C3C=CC=CN23,auto/manual
ZINCpv0000009ARJ,Z6615022433,-92.28,212,0.328767,13.57,CC=1C=CC(NS(=O)(=O)C=2C=CC(F)=CC2O)=CC1N3CCOC3=O,auto/manual
ZINCnu000009DLzG,Z6615022422,-92.28,213,0.491525,88.22,OC=1C(Cl)=CC=CC1S(=O)(=O)NCCC=2C=CC=CC2[N+](=O)[O-],auto/manual
ZINCos000004Whm9,Z6615022436,-92.03,239,0.424242,163.34,CCOC(=O)C1=NN=C(CNS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)S1,auto/manual
ZINCpI000006terX,Z6615022442,-92.02,240,0.428571,333.18,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NC2CC(COC=3C=CC=CC3)C2,auto
ZINCnI000005G2xf,Z2940321940,-91.99,245,0.448276,44.47,CC(=O)C=1C=C(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)C=CC1F,manual
ZINCoD00000a0HN9,Z6615022447,-91.87,271,0.451613,NH,CCC(COC=1C=CC=CC1F)NS(=O)(=O)C=2C=CC=C(Cl)C2O,auto
ZINCsr000005WNoJ,Z6615022449,-91.71,293,0.448276,NH,CN1N=CC(=C1C(=O)O)S(=O)(=O)NCC=2C=CC(COC=3C=CC=CC3)=CC2,auto/manual
ZINCot000004Aibf,Z6615022459,-91.68,299,0.4,151.83,CC(CC=1C(Cl)=CC=CC1Cl)NS(=O)(=O)C=2C=NN(C)C2C(=O)O,auto
ZINCoF000003PSlq,Z6615022462,-91.58,319,0.466667,73.54,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NCCCOC=2C=CC=CC2F,auto
ZINCny00000bwiwv,Z6615022469,-91.47,342,0.473684,NH,OCC(NS(=O)(=O)C=1C=CC=C(Cl)C1O)C=2C=CC(Cl)=C(F)C2,auto/manual
ZINCpK00000bTMLS,Z6615022471,-91.45,344,0.433962,248.68,OC=1C(Cl)=CC=CC1S(=O)(=O)NC2(CC2)C=3C=CC=CC3C(F)(F)F,auto
ZINCpt000002LxUY,Z6615019968,-91.31,367,0.34375,NH,CCOC(=O)C=1C=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2O)C=CC1O,manual
ZINCoo00000j5xlY,Z6615071410,-91.08,409,0.236842,NH,CCC1=CSC=C1C(=O)N2CC(CNC(=O)C3=C(C)ON=C3O)C2,auto
ZINCsv0000067Cct,Z6615019972,-91.05,414,0.324324,NH,CC1=NN(CC=2C=CC=CC2Cl)C(C)=C1C(=O)NCC=3C=NN(C)C3C(=O)O,auto/manual
ZINCqw000005Dd2D,Z2940322517,-90.97,430,0.457627,3.1,CC=1C(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)=CC=CC1N3C=NNC3=O,manual
ZINCqq000005JPhv,Z6615019982,-90.83,469,0.311475,NH,CN1N=CC(CNC(=O)C=2C=CC(NC(=O)C3CC3)=CC2Cl)=C1C(=O)O,auto/manual
ZINCps00000cNOiX,Z6615019989,-90.74,494,0.46875,375.63,CN1N=CC=C1C(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C=3C=CC=NC3,auto/manual
ZINCsE000004DJtp,Z6615014427,-90.63,514,0.354839,129.31,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC(C=2C=CC=C(Cl)C2)C=3C=CC=C(Cl)C3,auto
ZINCpO00000deSUE,Z2940602274,-90.58,525,0.444444,18.63,OC=1C(Cl)=CC(Cl)=CC1S(=O)(=O)NC=2C=C(C=CC2F)N3C=CC=C3,auto/manual
ZINCl500000ckKmL,Z6615014431,-90.54,540,0.277778,NH,CN1C=NN=C1CCC(=O)NCC=2C=NN(C)C2C(=O)O,auto
ZINCqj00000kMmjp,Z6615014441,-90.43,578,0.338462,NH,COC=1C=C(CNS(=O)(=O)C=2C=NN(C)C2C(=O)O)C=CC1OC(C)C,auto
ZINCpo00000dsk2f,Z6615014448,-90.4,588,0.306667,249.67,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C2CC2C=3C=CC=C(C)C3,auto
ZINCpx000000BF0N,Z6615019995,-90.36,601,0.4,NH,COC(=O)C(C)C=1C=CC=C(NS(=O)(=O)C=2C=C(F)C=C(F)C2O)C1,manual
