compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000513818302,89.09,,,,Cc1ccccc1[C@@H]1CCN([C@H](C)C(=O)NCCc2ccccc2)C1,-59.47
ZINC000508455082,69.3,,,,Brc1ccccc1CNc1nccn1Cc1ccccc1,-59.73
ZINC000468894194,35.4,,,,CC(C)CO[C@H]1CCN([C@@H](C)C(=O)N(C)Cc2ccc(Br)cc2)C1,-59.58
ZINC000423867812,95.61,,,,C[C@H](c1ccccc1Br)N(C)C(=O)C[C@@H]1CCCN1,-59.54
ZINC000412048402,88.56,,,,C[C@H](C(=O)NCc1ccc(F)cc1)N1C[C@@H]2CC[C@H](O)C[C@@H]2C1,-59.51
ZINC000358253868,52.09,,,,Cc1ccc([C@H](NC[C@@]2(O)CCN(C)C2)c2ccccc2)cc1,-59.53
ZINC000186482223,95.34,,,,N#Cc1ccccc1NC(=O)CCN1CCC(O)(c2c(F)cccc2F)CC1,-59.46
ZINC001580410121,122.13,,,,N[C@H](Cc1ccccn1)C(=O)NCc1ccccc1C(F)(F)F,-59.5
ZINC001320149247,14.71,,,,OC1(CN2CC(Cc3ccccc3C(F)(F)F)C2)CCC1,-59.45
ZINC000120571916,17.66,,,,O=C(Nc1cccc(OC(F)(F)F)c1)C(=O)N1CCC[C@@H](N2CCCC2)CC1,-59.42
ZINC001109713565,28.75,,,,C[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N2CCOCC1CC1)c1cccs1,-59.52
ZINC000894429059,33.62,,,,CCC(C)(C)N1CCN(c2cc(C(F)F)ncn2)CC1,-55.0
ZINC000886762228,109.81,,,,C=CCC1(O)CCN([C@H](C)C(=O)N[C@@H](C)c2ccc(Cl)cc2)CC1,-55.0
ZINC000843092160,16.24,,,,OC[C@@H](CNC[C@H](O)c1ccc(F)c(Br)c1)CC1CCCC1,-55.0
ZINC000825615260,104.46,,,,O=C([C@H](O)c1cccc([N+](=O)[O-])c1)N1CC[C@H](N2CCCC2)C1,-54.99
ZINC000775588849,39.03,,,,COc1ccc([C@H]2CCN(C[C@@H](O)c3ccc(F)cc3Cl)C2)cc1,-55.0
ZINC000645238909,35.45,,,,Clc1ccc(O[C@H]2CCN(C3CCCC3)C2)cc1,-54.99
ZINC000589606863,68.92,,,,C[C@H](CN(C)CC(=O)NCc1cccc(Cl)c1)c1ccccc1,-55.0
ZINC000584028046,18.38,,,,Fc1cccc(Cl)c1CNC1CCC2(CCCO2)CC1,-55.0
ZINC000574285278,76.19,,,,CCc1ccc([C@@H](C)N[C@@H]2CCCN(C(=O)CCC(F)(F)F)C2)s1,-55.0
ZINC000556573026,16.75,,,,CN1CC[C@](O)(CN[C@@H](c2sccc2Br)C2CCCCC2)C1,-55.0
ZINC000532978237,118.6,,,,COC(=O)c1ccccc1NC(=O)CN1C[C@@H](c2ccccc2)C[C@@H]1C,-55.0
ZINC000531059007,87.52,,,,CC1(C)[C@H](NC(=O)[C@]2(O)CCN(Cc3ccccc3)C2)[C@@H]2CCCO[C@@H]21,-55.0
ZINC000526962900,60.75,,,,Cc1cccc(C[C@H](CO)NCc2cnc(C3CCCCC3)s2)c1,-55.0
ZINC000517634594,98.74,,,,NC(=O)[C@H](Cc1ccc(Cl)cc1)NCc1cc2ccccc2s1,-55.0
ZINC000500192494,69.32,,,,C[C@]1(c2ccccc2)CCCN(CC(=O)N2CCc3ccccc32)C1,-55.0
ZINC000466933503,84.3,,,,C[C@@H]1CN(C2CC2)C[C@H]1NC(=O)N(Cc1cccc(Br)c1)C1CC1,-55.0
ZINC000453351921,69.23,,,,COc1cccnc1CN[C@H](Cc1ccc(C)cc1)C1CC1,-55.0
ZINC000439311985,106.41,,,,C[C@@H]1C[C@@H](c2ccccc2)CCN1Cc1nc(C2CC2)cs1,-55.0
ZINC000426526480,92.02,,,,O=C(CN1CC[C@@H]2CCC[C@@H]21)Nc1cccc(I)c1,-55.0
ZINC000332414923,87.24,,,,CC(C)CC(=O)N[C@@H](C(=O)N1CCC[C@H](N2CCCC2)C1)c1ccccc1,-55.0
ZINC000285725404,114.57,,,,CCc1cccc(C)c1NC(=O)CN1C[C@@H](N2CCCC2)C[C@H]1C,-55.0
ZINC000246894550,72.65,,,,CCN(C[C@@H]1CCN(Cc2ccccc2)C1)C(=O)[C@H]1CC(=O)N(C2CCCC2)C1,-55.0
ZINC000245453841,113.95,,,,C[C@@H](NC(=O)CNC(=O)CN1CCC[C@H]1C)c1ccc(F)cc1,-55.0
ZINC000228149300,112.76,,,,Cc1ccccc1NC(=O)CN1CCC[C@@H]1C[C@H](C)O,-55.0
ZINC000182372239,34.55,,,,CCN(CC)[C@H]1CCN(Cc2ncc(Cl)cc2Cl)C1,-55.0
