zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCky000001se9Z,Z4377810717,Z4377810717,CC=1C=NC(Br)=C(NC(=O)C2CCCC3=CN=CN23)C1,,>200,,,200,Cc1cnc(Br)c(NC(=O)[C@H]2CCCc3cncn32)c1,H20P280,-53.72
ZINCkf00000dyd2A,Z4395702144,Z4395702144,CC(O)(CN1C=C(Br)C=N1)C(=O)OCC=2C=CC=NN2,,>200,,,300,C[C@@](O)(Cn1cc(Br)cn1)C(=O)OCc1cccnn1,H20P090,-48.96
ZINCk50000045Dkt,Z4483418220,Z4483418220,CCN(C(=O)CC=1C=C(C)C=CC1Br)C=2C=CC=NC2,,>200,,,200,Cn1cncc1[C@H](O)C(=O)N[C@H]1CCn2nccc2C1,H20M000,-33.46
ZINCmk000007QDHe,Z4488691804,Z4488691804,COC=1C=NC=C(NC(=O)C2(CCOCC2)N3C=CC=N3)C1,,>200,,,200,COc1cncc(NC(=O)C2(n3cccn3)CCOCC2)c1,H22P140,-46.93
ZINClE00000389uB,Z4507278303,Z4507278303,FC=1C=NC=C(NC(=O)C2(CC2)N3C=C(C=N3)C(F)(F)F)C1,,>200,,,200,Cc1ccc(C)c(N(C)C(=O)C(F)(F)c2cccnc2)c1,H21P340,-51.91
ZINCjs000004TOcj,Z4599822042,Z4599822042,FC=1C=CC(=CC1)N(C2CC2)C(=O)CN3C=CN=C3,,>200,,,300,O=C(Cn1ccnc1)N(c1ccc(F)cc1)C1CC1,H19P220,-50.81
ZINCnA000005ajz4,Z4645990038,Z4645990038,CN(C(=O)CC=1C=CC=CC1OC2CCCC2)C=3C=CN=NC3,,>200,,,100,CN(C(=O)Cc1ccccc1OC1CCCC1)c1ccnnc1,H23P300,-45.44
ZINCnD000007tl7N,Z4870899853,Z4870899853,COC=1C=CC(C)=CC1CC(=O)N2CCCCC=3C=CN=CC23,,>200,,,200,COc1ccc(C)cc1CC(=O)N1CCCCc2ccncc21,H23P330,-54.44
ZINCjI000004dDo6,Z5385490963,Z5385490963,CC(C(=O)OC=1C=C(C)C=CC1Br)C=2C=CC=NC2,,>200,,,300,Cc1ccc(Br)c(OC(=O)[C@@H](C)c2cccnc2)c1,H19P380,-49.27
ZINCnv000001NByT,Z5385490964,Z5385490964,O=C(CN1C=NC=N1)N2CCC=3C=CC=CC3C=4C=CC=CC24,,>200,,,300,O=C(Cn1cncn1)N1CCc2ccccc2-c2ccccc21,H23P250,-51.33
ZINCiw000001P3Tu,Z5385490965,Z5385490965,CN(C(=O)CN1C=NC=C1C)C=2C=CC=CC2Br,,>200,,,300,Cc1cncn1CC(=O)N(C)c1ccccc1Br,H18P260,-50.33
ZINClI000003IzlA,Z5385490967,Z5385490967,COC=1C=CC(Br)=CC1CC(=O)N(C)C=2C=NC=C(Br)C2,,200,,,300,COc1ccc(Br)cc1CC(=O)N(C)c1cncc(Br)c1,H21P380,-48.49
ZINCnB000000WOlw,Z5385490971,Z5385490971,O=C(CN1C=CN=C1)N2CCC=3C=CC=CC3C=4C=CC=CC24,,>200,,,200,O=C(Cn1ccnc1)N1CCc2ccccc2-c2ccccc21,H23P310,-49.82
ZINCns000000NB4W,Z5385490972,Z5385490972,CN(CCC1=CNC=N1)C(=O)C=2C=C(C)C=CC2N3C=CN=C3,,>200,,,200,Cc1ccc(-n2ccnc2)c(C(=O)N(C)CCc2cnc[nH]2)c1,H23P220,-50.52
ZINCkp00000c5EO9,Z5385490976,Z5385490976,CC(C(=O)OC=1C=C(C)C=CC1Cl)C=2C=NC=C(F)C2,,>200,,,300,CN(CCCn1ccnc1)C(=O)C(F)(F)c1cncs1,H20P190,-47.96
ZINCjJ000004eEv7,Z5385490981,Z5385490981,CC(C)(C(=O)OCC=1SN=CC1Br)C=2C=CC=CC2,,>200,,,100,CC(C)(C(=O)OCc1sncc1Br)c1ccccc1,H19P390,-47.81
ZINCoC000000L0Tk,Z5385490982,Z5385490982,CC=1C=NC=C(C1)C2CCCN2S(=O)(=O)C=3C=C(F)C(F)=CC3F,,>200,,,200,COc1cncc(N(C)C(=O)Cc2ccccc2COC(C)C)c1,H24P320,-49.77
ZINCmE000003nWN7,Z5385491009,Z5385491009,ClC=1C=CC=CC1COC(=O)CN2C(=O)SC=3C=CC=CC23,,>200,,,300,O=C(Cn1c(=O)sc2ccccc21)OCc1ccccc1Cl,H22P340,-50.14
ZINCkI000004MokN,Z5420224652,Z5420224652,BrC1=CSC=C1CC(=O)N2CCCCC=3C=CN=CC23,,>200,,,200,O=C(Cc1cscc1Br)N1CCCCc2ccncc21,H20P380,-51.12
ZINCoH000000DPrJ,Z5420224706,Z5420224706,FC(F)(F)C=CC=1C=CC=C(NC(=O)C(F)(F)C=2C=NC=CN2)C1,,>200,,,200,O=C(Nc1cccc(C=CC(F)(F)F)c1)C(F)(F)c1cnccn1,H24P370,-45.21
ZINCou0000016k6a,Z5420224980,Z5420224980,COC=1C=CC2=NC=C(C(=O)N3CCC3C=4C=CC=CC4F)N2N1,,>200,,,200,COc1ccc2ncc(C(=O)N3CC[C@H]3c3ccccc3F)n2n1,H24P240,-45.33
ZINCou000001fbrq,Z5420224989,Z5420224989,FC=1C(Cl)=CC=NC1CNC(=O)C2CC23C(=O)NC=4C=CC=CC43,,>200,,,200,O=C(NCc1nccc(Cl)c1F)[C@H]1C[C@]12C(=O)Nc1ccccc12,H24P240,-45.43
ZINCmw000006irYI,Z5420225043,Z5420225043,CC=1ON=C(C1C(=O)NCC2=COC(Cl)=N2)C=3C=CC=NC3,,>200,,,200,Cc1onc(-c2cccnc2)c1C(=O)NCc1coc(Cl)n1,H22P260,-50.1
ZINCnA000000DqoC,Z5420225212,Z5420225212,FC=1C=CC=2OCC(NC(=O)C=3C=NN4C=CC=C(Br)C34)C2C1,,>200,,,200,O=C(N[C@@H]1COc2ccc(F)cc21)c1cnn2cccc(Br)c12,H23P300,-45.73
ZINClx000001KTYS,Z5420225304,Z5420225304,FC(F)(C(=O)NC=1C=CC=C2NCCC21)C=3C=CC=NC3,,>200,,,200,O=C(Nc1cccc2c1CCN2)C(F)(F)c1cccnc1,H21P270,-49.85
ZINCoa000000B3K8,Z5420225399,Z5420225399,O=C(NCC1CNC(=O)O1)N2CC3=CN=NN3CC=4C=CC=CC24,,>200,,,200,O=C1NC[C@H](CNC(=O)N2Cc3cnnn3Cc3ccccc32)O1,H24P040,-44.68
